[04:16:50.601] Solucion #1: A1; B3; C6; D8; E10; F5; G9; H2; I4; J7; 
[04:16:50.611] Solucion #2: A1; B3; C6; D9; E7; F10; G4; H2; I5; J8; 
[04:16:50.611] Solucion #3: A1; B3; C6; D9; E7; F10; G4; H2; I8; J5; 
[04:16:50.651] Solucion #4: A1; B3; C9; D7; E10; F4; G2; H5; I8; J6; 
[04:16:50.681] Solucion #5: A1; B4; C6; D9; E3; F10; G8; H2; I5; J7; 
[04:16:50.681] Solucion #6: A1; B4; C7; D10; E2; F9; G5; H3; I8; J6; 
[04:16:50.681] Solucion #7: A1; B4; C7; D10; E3; F9; G2; H5; I8; J6; 
[04:16:50.691] Solucion #8: A1; B4; C7; D10; E6; F9; G2; H5; I3; J8; 
[04:16:50.691] Solucion #9: A1; B4; C7; D10; E8; F2; G5; H3; I6; J9; 
[04:16:50.691] Solucion #10: A1; B4; C7; D10; E8; F3; G5; H9; I2; J6; 
[04:16:50.691] Solucion #11: A1; B4; C7; D10; E8; F5; G2; H9; I3; J6; 
[04:16:50.691] Solucion #12: A1; B4; C9; D5; E8; F10; G3; H6; I2; J7; 
[04:16:50.691] Solucion #13: A1; B4; C9; D7; E2; F10; G3; H6; I8; J5; 
[04:16:50.701] Solucion #14: A1; B4; C9; D7; E10; F3; G6; H2; I5; J8; 
[04:16:50.701] Solucion #15: A1; B4; C10; D7; E9; F3; G5; H2; I8; J6; 
[04:16:50.721] Solucion #16: A1; B5; C7; D2; E10; F8; G4; H9; I3; J6; 
[04:16:50.721] Solucion #17: A1; B5; C7; D10; E4; F2; G9; H3; I6; J8; 
[04:16:50.721] Solucion #18: A1; B5; C8; D2; E7; F10; G3; H9; I6; J4; 
[04:16:50.731] Solucion #19: A1; B5; C8; D10; E3; F7; G2; H4; I6; J9; 
[04:16:50.731] Solucion #20: A1; B5; C8; D10; E7; F4; G2; H9; I6; J3; 
[04:16:50.741] Solucion #21: A1; B5; C10; D6; E9; F2; G4; H7; I3; J8; 
[04:16:50.751] Solucion #22: A1; B6; C4; D7; E10; F3; G9; H2; I5; J8; 
[04:16:50.751] Solucion #23: A1; B6; C4; D7; E10; F8; G2; H5; I3; J9; 
[04:16:50.751] Solucion #24: A1; B6; C4; D9; E7; F3; G10; H2; I5; J8; 
[04:16:50.751] Solucion #25: A1; B6; C4; D10; E7; F9; G3; H5; I2; J8; 
[04:16:50.761] Solucion #26: A1; B6; C8; D2; E7; F9; G3; H5; I10; J4; 
[04:16:50.761] Solucion #27: A1; B6; C8; D3; E7; F9; G2; H5; I10; J4; 
[04:16:50.761] Solucion #28: A1; B6; C8; D5; E2; F9; G3; H10; I7; J4; 
[04:16:50.761] Solucion #29: A1; B6; C8; D10; E4; F9; G3; H5; I7; J2; 
[04:16:50.771] Solucion #30: A1; B6; C9; D3; E8; F4; G2; H10; I5; J7; 
[04:16:50.771] Solucion #31: A1; B6; C9; D3; E10; F7; G4; H2; I5; J8; 
[04:16:50.771] Solucion #32: A1; B6; C9; D5; E10; F8; G4; H2; I7; J3; 
[04:16:50.771] Solucion #33: A1; B6; C9; D7; E2; F4; G8; H10; I5; J3; 
[04:16:50.781] Solucion #34: A1; B6; C10; D3; E7; F9; G4; H2; I5; J8; 
[04:16:50.811] Solucion #35: A1; B7; C2; D6; E8; F10; G4; H9; I3; J5; 
[04:16:50.811] Solucion #36: A1; B7; C4; D6; E9; F2; G10; H5; I3; J8; 
[04:16:50.811] Solucion #37: A1; B7; C4; D10; E8; F2; G5; H3; I6; J9; 
[04:16:50.811] Solucion #38: A1; B7; C5; D2; E8; F10; G3; H9; I6; J4; 
[04:16:50.811] Solucion #39: A1; B7; C5; D8; E2; F9; G6; H3; I10; J4; 
[04:16:50.811] Solucion #40: A1; B7; C9; D2; E6; F10; G3; H5; I8; J4; 
[04:16:50.811] Solucion #41: A1; B7; C9; D2; E8; F5; G3; H10; I6; J4; 
[04:16:50.821] Solucion #42: A1; B7; C9; D3; E8; F2; G4; H6; I10; J5; 
[04:16:50.821] Solucion #43: A1; B7; C9; D6; E3; F10; G8; H5; I2; J4; 
[04:16:50.821] Solucion #44: A1; B7; C10; D6; E2; F9; G5; H3; I8; J4; 
[04:16:50.821] Solucion #45: A1; B8; C2; D7; E9; F3; G5; H10; I4; J6; 
[04:16:50.821] Solucion #46: A1; B8; C2; D7; E10; F3; G5; H9; I4; J6; 
[04:16:50.821] Solucion #47: A1; B8; C2; D9; E6; F3; G10; H4; I7; J5; 
[04:16:50.821] Solucion #48: A1; B8; C4; D7; E9; F2; G5; H10; I6; J3; 
[04:16:50.821] Solucion #49: A1; B8; C4; D7; E9; F2; G6; H10; I3; J5; 
[04:16:50.831] Solucion #50: A1; B8; C4; D9; E7; F3; G10; H6; I2; J5; 
[04:16:50.831] Solucion #51: A1; B8; C5; D2; E9; F3; G10; H7; I4; J6; 
[04:16:50.831] Solucion #52: A1; B8; C6; D2; E7; F10; G4; H9; I5; J3; 
[04:16:50.831] Solucion #53: A1; B8; C6; D2; E9; F7; G4; H10; I3; J5; 
[04:16:50.831] Solucion #54: A1; B8; C6; D3; E9; F2; G4; H10; I7; J5; 
[04:16:50.831] Solucion #55: A1; B8; C6; D3; E9; F2; G5; H10; I4; J7; 
[04:16:50.831] Solucion #56: A1; B8; C6; D9; E3; F10; G4; H7; I5; J2; 
[04:16:50.841] Solucion #57: A1; B8; C10; D7; E4; F2; G9; H6; I3; J5; 
[04:16:50.851] Solucion #58: A1; B9; C5; D10; E8; F4; G2; H7; I3; J6; 
[04:16:50.851] Solucion #59: A1; B9; C6; D2; E7; F10; G3; H5; I8; J4; 
[04:16:50.851] Solucion #60: A1; B9; C6; D3; E10; F8; G5; H2; I4; J7; 
[04:16:50.851] Solucion #61: A1; B9; C7; D2; E4; F8; G10; H5; I3; J6; 
[04:16:50.851] Solucion #62: A1; B9; C7; D3; E8; F2; G5; H10; I6; J4; 
[04:16:50.861] Solucion #63: A1; B10; C5; D7; E9; F3; G8; H2; I4; J6; 
[04:16:50.861] Solucion #64: A1; B10; C7; D5; E8; F2; G9; H3; I6; J4; 
[04:16:50.871] Solucion #65: A2; B4; C6; D8; E10; F1; G3; H5; I7; J9; 
[04:16:50.881] Solucion #66: A2; B4; C8; D3; E9; F6; G10; H1; I7; J5; 
[04:16:50.881] Solucion #67: A2; B4; C8; D10; E5; F9; G6; H1; I3; J7; 
[04:16:50.881] Solucion #68: A2; B4; C9; D7; E5; F10; G1; H6; I8; J3; 
[04:16:50.881] Solucion #69: A2; B4; C10; D7; E9; F6; G3; H1; I8; J5; 
[04:16:50.891] Solucion #70: A2; B5; C7; D1; E10; F6; G9; H3; I8; J4; 
