[04:20:08.577] Solucion #1: A1; B3; C5; D2; 
[04:20:08.587] Solucion #2: A1; B3; C6; D2; 
[04:20:08.587] Solucion #3: A1; B3; C7; D2; 
[04:20:08.587] Solucion #4: A1; B3; C8; D2; 
[04:20:08.587] Solucion #5: A1; B3; C9; D2; 
[04:20:08.587] Solucion #6: A1; B3; C10; D2; 
[04:20:08.587] Solucion #7: A1; B4; C2; D5; 
[04:20:08.587] Solucion #8: A1; B4; C6; D3; 
[04:20:08.587] Solucion #9: A1; B4; C7; D3; 
[04:20:08.587] Solucion #10: A1; B4; C8; D3; 
[04:20:08.587] Solucion #11: A1; B4; C9; D3; 
[04:20:08.587] Solucion #12: A1; B4; C10; D3; 
[04:20:08.587] Solucion #13: A1; B5; C2; D6; 
[04:20:08.587] Solucion #14: A1; B5; C7; D2; 
[04:20:08.597] Solucion #15: A1; B5; C8; D2; 
[04:20:08.597] Solucion #16: A1; B5; C9; D2; 
[04:20:08.597] Solucion #17: A1; B5; C10; D2; 
[04:20:08.597] Solucion #18: A1; B6; C2; D5; 
[04:20:08.597] Solucion #19: A1; B6; C4; D2; 
[04:20:08.597] Solucion #20: A1; B6; C8; D2; 
[04:20:08.597] Solucion #21: A1; B6; C9; D2; 
[04:20:08.597] Solucion #22: A1; B6; C10; D2; 
[04:20:08.597] Solucion #23: A1; B7; C2; D6; 
[04:20:08.597] Solucion #24: A1; B7; C4; D2; 
[04:20:08.597] Solucion #25: A1; B7; C5; D2; 
[04:20:08.597] Solucion #26: A1; B7; C9; D2; 
[04:20:08.597] Solucion #27: A1; B7; C10; D2; 
[04:20:08.597] Solucion #28: A1; B8; C2; D5; 
[04:20:08.597] Solucion #29: A1; B8; C4; D2; 
[04:20:08.607] Solucion #30: A1; B8; C5; D2; 
[04:20:08.607] Solucion #31: A1; B8; C6; D2; 
[04:20:08.607] Solucion #32: A1; B8; C10; D2; 
[04:20:08.607] Solucion #33: A1; B9; C2; D5; 
[04:20:08.607] Solucion #34: A1; B9; C4; D2; 
[04:20:08.607] Solucion #35: A1; B9; C5; D2; 
[04:20:08.607] Solucion #36: A1; B9; C6; D2; 
[04:20:08.607] Solucion #37: A1; B9; C7; D2; 
[04:20:08.607] Solucion #38: A1; B10; C2; D5; 
[04:20:08.607] Solucion #39: A1; B10; C4; D2; 
[04:20:08.607] Solucion #40: A1; B10; C5; D2; 
[04:20:08.607] Solucion #41: A1; B10; C6; D2; 
[04:20:08.607] Solucion #42: A1; B10; C7; D2; 
[04:20:08.607] Solucion #43: A1; B10; C8; D2; 
[04:20:08.607] Solucion #44: A2; B4; C1; D3; 
[04:20:08.607] Solucion #45: A2; B4; C6; D1; 
[04:20:08.607] Solucion #46: A2; B4; C7; D1; 
[04:20:08.617] Solucion #47: A2; B4; C8; D1; 
[04:20:08.617] Solucion #48: A2; B4; C9; D1; 
[04:20:08.617] Solucion #49: A2; B4; C10; D1; 
[04:20:08.617] Solucion #50: A2; B5; C1; D4; 
[04:20:08.617] Solucion #51: A2; B5; C3; D1; 
[04:20:08.617] Solucion #52: A2; B5; C7; D1; 
[04:20:08.617] Solucion #53: A2; B5; C8; D1; 
[04:20:08.617] Solucion #54: A2; B5; C9; D1; 
[04:20:08.617] Solucion #55: A2; B5; C10; D1; 
[04:20:08.617] Solucion #56: A2; B6; C1; D3; 
[04:20:08.617] Solucion #57: A2; B6; C3; D1; 
[04:20:08.617] Solucion #58: A2; B6; C8; D1; 
[04:20:08.617] Solucion #59: A2; B6; C9; D1; 
[04:20:08.617] Solucion #60: A2; B6; C10; D1; 
[04:20:08.617] Solucion #61: A2; B7; C1; D3; 
[04:20:08.617] Solucion #62: A2; B7; C3; D1; 
[04:20:08.617] Solucion #63: A2; B7; C5; D1; 
[04:20:08.617] Solucion #64: A2; B7; C9; D1; 
[04:20:08.617] Solucion #65: A2; B7; C10; D1; 
[04:20:08.617] Solucion #66: A2; B8; C1; D3; 
[04:20:08.627] Solucion #67: A2; B8; C3; D1; 
[04:20:08.627] Solucion #68: A2; B8; C5; D1; 
[04:20:08.627] Solucion #69: A2; B8; C6; D1; 
[04:20:08.627] Solucion #70: A2; B8; C10; D1; 
[04:20:08.627] Solucion #71: A2; B9; C1; D3; 
[04:20:08.627] Solucion #72: A2; B9; C3; D1; 
[04:20:08.627] Solucion #73: A2; B9; C5; D1; 
[04:20:08.627] Solucion #74: A2; B9; C6; D1; 
[04:20:08.627] Solucion #75: A2; B9; C7; D1; 
[04:20:08.627] Solucion #76: A2; B10; C1; D3; 
[04:20:08.627] Solucion #77: A2; B10; C3; D1; 
[04:20:08.627] Solucion #78: A2; B10; C5; D1; 
