[04:18:33.076] Solucion #1: A1; B3; C5; D2; E4; 
[04:18:33.076] Solucion #2: A1; B3; C5; D7; E2; 
[04:18:33.076] Solucion #3: A1; B3; C5; D8; E2; 
[04:18:33.076] Solucion #4: A1; B3; C5; D9; E2; 
[04:18:33.076] Solucion #5: A1; B3; C6; D2; E7; 
[04:18:33.076] Solucion #6: A1; B3; C6; D8; E2; 
[04:18:33.076] Solucion #7: A1; B3; C6; D9; E2; 
[04:18:33.076] Solucion #8: A1; B3; C7; D2; E4; 
[04:18:33.076] Solucion #9: A1; B3; C7; D9; E2; 
[04:18:33.076] Solucion #10: A1; B3; C8; D2; E4; 
[04:18:33.076] Solucion #11: A1; B3; C8; D6; E2; 
[04:18:33.076] Solucion #12: A1; B3; C9; D2; E4; 
[04:18:33.076] Solucion #13: A1; B3; C9; D6; E2; 
[04:18:33.076] Solucion #14: A1; B3; C9; D7; E2; 
[04:18:33.086] Solucion #15: A1; B4; C2; D5; E3; 
[04:18:33.086] Solucion #16: A1; B4; C2; D7; E3; 
[04:18:33.086] Solucion #17: A1; B4; C2; D8; E3; 
[04:18:33.086] Solucion #18: A1; B4; C2; D9; E3; 
[04:18:33.086] Solucion #19: A1; B4; C6; D3; E9; 
[04:18:33.086] Solucion #20: A1; B4; C6; D8; E2; 
[04:18:33.086] Solucion #21: A1; B4; C6; D9; E2; 
[04:18:33.086] Solucion #22: A1; B4; C7; D3; E6; 
[04:18:33.086] Solucion #23: A1; B4; C7; D5; E2; 
[04:18:33.086] Solucion #24: A1; B4; C7; D9; E2; 
[04:18:33.086] Solucion #25: A1; B4; C8; D3; E9; 
[04:18:33.086] Solucion #26: A1; B4; C8; D5; E2; 
[04:18:33.086] Solucion #27: A1; B4; C9; D3; E6; 
[04:18:33.086] Solucion #28: A1; B4; C9; D5; E2; 
[04:18:33.086] Solucion #29: A1; B4; C9; D7; E2; 
[04:18:33.086] Solucion #30: A1; B5; C2; D6; E3; 
[04:18:33.086] Solucion #31: A1; B5; C2; D8; E3; 
[04:18:33.086] Solucion #32: A1; B5; C2; D9; E3; 
[04:18:33.086] Solucion #33: A1; B5; C7; D2; E4; 
[04:18:33.086] Solucion #34: A1; B5; C7; D9; E3; 
[04:18:33.086] Solucion #35: A1; B5; C8; D2; E4; 
[04:18:33.086] Solucion #36: A1; B5; C8; D6; E3; 
[04:18:33.086] Solucion #37: A1; B5; C9; D2; E4; 
[04:18:33.086] Solucion #38: A1; B5; C9; D6; E3; 
[04:18:33.086] Solucion #39: A1; B6; C2; D5; E7; 
[04:18:33.086] Solucion #40: A1; B6; C2; D9; E7; 
[04:18:33.086] Solucion #41: A1; B6; C4; D2; E7; 
[04:18:33.086] Solucion #42: A1; B6; C4; D9; E7; 
[04:18:33.086] Solucion #43: A1; B6; C8; D2; E4; 
[04:18:33.086] Solucion #44: A1; B6; C8; D3; E7; 
[04:18:33.086] Solucion #45: A1; B6; C8; D5; E2; 
[04:18:33.086] Solucion #46: A1; B6; C9; D2; E4; 
[04:18:33.086] Solucion #47: A1; B6; C9; D3; E8; 
[04:18:33.086] Solucion #48: A1; B6; C9; D5; E2; 
[04:18:33.086] Solucion #49: A1; B6; C9; D7; E2; 
[04:18:33.086] Solucion #50: A1; B7; C2; D6; E3; 
[04:18:33.086] Solucion #51: A1; B7; C2; D8; E3; 
[04:18:33.086] Solucion #52: A1; B7; C4; D2; E8; 
[04:18:33.086] Solucion #53: A1; B7; C4; D6; E3; 
[04:18:33.086] Solucion #54: A1; B7; C4; D8; E3; 
[04:18:33.096] Solucion #55: A1; B7; C5; D2; E6; 
[04:18:33.096] Solucion #56: A1; B7; C5; D3; E6; 
[04:18:33.096] Solucion #57: A1; B7; C5; D8; E2; 
[04:18:33.096] Solucion #58: A1; B7; C9; D2; E6; 
[04:18:33.096] Solucion #59: A1; B7; C9; D3; E6; 
[04:18:33.096] Solucion #60: A1; B7; C9; D6; E2; 
[04:18:33.096] Solucion #61: A1; B8; C2; D5; E3; 
[04:18:33.096] Solucion #62: A1; B8; C2; D7; E3; 
[04:18:33.096] Solucion #63: A1; B8; C2; D9; E3; 
[04:18:33.096] Solucion #64: A1; B8; C4; D2; E7; 
[04:18:33.096] Solucion #65: A1; B8; C4; D7; E3; 
[04:18:33.096] Solucion #66: A1; B8; C4; D9; E3; 
[04:18:33.096] Solucion #67: A1; B8; C5; D2; E4; 
[04:18:33.096] Solucion #68: A1; B8; C5; D3; E6; 
[04:18:33.096] Solucion #69: A1; B8; C5; D7; E2; 
[04:18:33.096] Solucion #70: A1; B8; C5; D9; E2; 
[04:18:33.096] Solucion #71: A1; B8; C6; D2; E7; 
[04:18:33.096] Solucion #72: A1; B8; C6; D3; E7; 
[04:18:33.096] Solucion #73: A1; B8; C6; D9; E2; 
[04:18:33.096] Solucion #74: A1; B9; C2; D5; E3; 
[04:18:33.096] Solucion #75: A1; B9; C2; D6; E3; 
[04:18:33.096] Solucion #76: A1; B9; C2; D8; E3; 
