[04:16:33.927] Solucion #1: A1; B5; C8; D6; E3; F7; G2; H4; 
[04:16:33.937] Solucion #2: A1; B6; C8; D3; E7; F4; G2; H5; 
[04:16:33.947] Solucion #3: A1; B7; C4; D6; E8; F2; G5; H3; 
[04:16:33.947] Solucion #4: A1; B7; C5; D8; E2; F4; G6; H3; 
[04:16:34.017] Solucion #5: A2; B4; C6; D8; E3; F1; G7; H5; 
[04:16:34.027] Solucion #6: A2; B5; C7; D1; E3; F8; G6; H4; 
[04:16:34.027] Solucion #7: A2; B5; C7; D4; E1; F8; G6; H3; 
[04:16:34.027] Solucion #8: A2; B6; C1; D7; E4; F8; G3; H5; 
[04:16:34.037] Solucion #9: A2; B6; C8; D3; E1; F4; G7; H5; 
[04:16:34.037] Solucion #10: A2; B7; C3; D6; E8; F5; G1; H4; 
[04:16:34.037] Solucion #11: A2; B7; C5; D8; E1; F4; G6; H3; 
[04:16:34.047] Solucion #12: A2; B8; C6; D1; E3; F5; G7; H4; 
[04:16:34.057] Solucion #13: A3; B1; C7; D5; E8; F2; G4; H6; 
[04:16:34.057] Solucion #14: A3; B5; C2; D8; E1; F7; G4; H6; 
[04:16:34.057] Solucion #15: A3; B5; C2; D8; E6; F4; G7; H1; 
[04:16:34.057] Solucion #16: A3; B5; C7; D1; E4; F2; G8; H6; 
[04:16:34.067] Solucion #17: A3; B5; C8; D4; E1; F7; G2; H6; 
[04:16:34.067] Solucion #18: A3; B6; C2; D5; E8; F1; G7; H4; 
[04:16:34.067] Solucion #19: A3; B6; C2; D7; E1; F4; G8; H5; 
[04:16:34.067] Solucion #20: A3; B6; C2; D7; E5; F1; G8; H4; 
[04:16:34.067] Solucion #21: A3; B6; C4; D1; E8; F5; G7; H2; 
[04:16:34.067] Solucion #22: A3; B6; C4; D2; E8; F5; G7; H1; 
[04:16:34.067] Solucion #23: A3; B6; C8; D1; E4; F7; G5; H2; 
[04:16:34.067] Solucion #24: A3; B6; C8; D1; E5; F7; G2; H4; 
[04:16:34.067] Solucion #25: A3; B6; C8; D2; E4; F1; G7; H5; 
[04:16:34.077] Solucion #26: A3; B7; C2; D8; E5; F1; G4; H6; 
[04:16:34.077] Solucion #27: A3; B7; C2; D8; E6; F4; G1; H5; 
[04:16:34.077] Solucion #28: A3; B8; C4; D7; E1; F6; G2; H5; 
[04:16:34.088] Solucion #29: A4; B1; C5; D8; E2; F7; G3; H6; 
[04:16:34.089] Solucion #30: A4; B1; C5; D8; E6; F3; G7; H2; 
[04:16:34.093] Solucion #31: A4; B2; C5; D8; E6; F1; G3; H7; 
[04:16:34.094] Solucion #32: A4; B2; C7; D3; E6; F8; G1; H5; 
[04:16:34.094] Solucion #33: A4; B2; C7; D3; E6; F8; G5; H1; 
[04:16:34.095] Solucion #34: A4; B2; C7; D5; E1; F8; G6; H3; 
[04:16:34.096] Solucion #35: A4; B2; C8; D5; E7; F1; G3; H6; 
[04:16:34.097] Solucion #36: A4; B2; C8; D6; E1; F3; G5; H7; 
[04:16:34.099] Solucion #37: A4; B6; C1; D5; E2; F8; G3; H7; 
[04:16:34.100] Solucion #38: A4; B6; C8; D2; E7; F1; G3; H5; 
[04:16:34.101] Solucion #39: A4; B6; C8; D3; E1; F7; G5; H2; 
[04:16:34.104] Solucion #40: A4; B7; C1; D8; E5; F2; G6; H3; 
[04:16:34.105] Solucion #41: A4; B7; C3; D8; E2; F5; G1; H6; 
[04:16:34.106] Solucion #42: A4; B7; C5; D2; E6; F1; G3; H8; 
[04:16:34.106] Solucion #43: A4; B7; C5; D3; E1; F6; G8; H2; 
[04:16:34.107] Solucion #44: A4; B8; C1; D3; E6; F2; G7; H5; 
[04:16:34.107] Solucion #45: A4; B8; C1; D5; E7; F2; G6; H3; 
[04:16:34.107] Solucion #46: A4; B8; C5; D3; E1; F7; G2; H6; 
[04:16:34.107] Solucion #47: A5; B1; C4; D6; E8; F2; G7; H3; 
[04:16:34.107] Solucion #48: A5; B1; C8; D4; E2; F7; G3; H6; 
[04:16:34.107] Solucion #49: A5; B1; C8; D6; E3; F7; G2; H4; 
[04:16:34.107] Solucion #50: A5; B2; C4; D6; E8; F3; G1; H7; 
[04:16:34.107] Solucion #51: A5; B2; C4; D7; E3; F8; G6; H1; 
[04:16:34.107] Solucion #52: A5; B2; C6; D1; E7; F4; G8; H3; 
[04:16:34.107] Solucion #53: A5; B2; C8; D1; E4; F7; G3; H6; 
[04:16:34.107] Solucion #54: A5; B3; C1; D6; E8; F2; G4; H7; 
[04:16:34.107] Solucion #55: A5; B3; C1; D7; E2; F8; G6; H4; 
[04:16:34.107] Solucion #56: A5; B3; C8; D4; E7; F1; G6; H2; 
[04:16:34.107] Solucion #57: A5; B7; C1; D3; E8; F6; G4; H2; 
[04:16:34.107] Solucion #58: A5; B7; C1; D4; E2; F8; G6; H3; 
[04:16:34.117] Solucion #59: A5; B7; C2; D4; E8; F1; G3; H6; 
[04:16:34.117] Solucion #60: A5; B7; C2; D6; E3; F1; G4; H8; 
[04:16:34.117] Solucion #61: A5; B7; C2; D6; E3; F1; G8; H4; 
[04:16:34.117] Solucion #62: A5; B7; C4; D1; E3; F8; G6; H2; 
[04:16:34.117] Solucion #63: A5; B8; C4; D1; E3; F6; G2; H7; 
[04:16:34.117] Solucion #64: A5; B8; C4; D1; E7; F2; G6; H3; 
[04:16:34.117] Solucion #65: A6; B1; C5; D2; E8; F3; G7; H4; 
[04:16:34.117] Solucion #66: A6; B2; C7; D1; E3; F5; G8; H4; 
[04:16:34.117] Solucion #67: A6; B2; C7; D1; E4; F8; G5; H3; 
[04:16:34.117] Solucion #68: A6; B3; C1; D7; E5; F8; G2; H4; 
[04:16:34.117] Solucion #69: A6; B3; C1; D8; E4; F2; G7; H5; 
[04:16:34.117] Solucion #70: A6; B3; C1; D8; E5; F2; G4; H7; 
[04:16:34.117] Solucion #71: A6; B3; C5; D7; E1; F4; G2; H8; 
[04:16:34.127] Solucion #72: A6; B3; C5; D8; E1; F4; G2; H7; 
[04:16:34.127] Solucion #73: A6; B3; C7; D2; E4; F8; G1; H5; 
[04:16:34.127] Solucion #74: A6; B3; C7; D2; E8; F5; G1; H4; 
[04:16:34.127] Solucion #75: A6; B3; C7; D4; E1; F8; G2; H5; 
[04:16:34.127] Solucion #76: A6; B4; C1; D5; E8; F2; G7; H3; 
[04:16:34.127] Solucion #77: A6; B4; C2; D8; E5; F7; G1; H3; 
[04:16:34.127] Solucion #78: A6; B4; C7; D1; E3; F5; G2; H8; 
[04:16:34.127] Solucion #79: A6; B4; C7; D1; E8; F2; G5; H3; 
[04:16:34.127] Solucion #80: A6; B8; C2; D4; E1; F7; G5; H3; 
[04:16:34.127] Solucion #81: A7; B1; C3; D8; E6; F4; G2; H5; 
[04:16:34.127] Solucion #82: A7; B2; C4; D1; E8; F5; G3; H6; 
[04:16:34.137] Solucion #83: A7; B2; C6; D3; E1; F4; G8; H5; 
[04:16:34.137] Solucion #84: A7; B3; C1; D6; E8; F5; G2; H4; 
[04:16:34.137] Solucion #85: A7; B3; C8; D2; E5; F1; G6; H4; 
[04:16:34.137] Solucion #86: A7; B4; C2; D5; E8; F1; G3; H6; 
[04:16:34.137] Solucion #87: A7; B4; C2; D8; E6; F1; G3; H5; 
[04:16:34.167] Solucion #88: A7; B5; C3; D1; E6; F8; G2; H4; 
[04:16:34.167] Solucion #89: A8; B2; C4; D1; E7; F5; G3; H6; 
[04:16:34.167] Solucion #90: A8; B2; C5; D3; E1; F7; G4; H6; 
[04:16:34.167] Solucion #91: A8; B3; C1; D6; E2; F5; G7; H4; 
[04:16:34.177] Solucion #92: A8; B4; C1; D3; E6; F2; G7; H5; 
